Registration Id,Name,Department,Semester,Father Name,Fee Status
241000,Eman Ali,BSIT,1st,Imran Mehdi,Paid
 , , , , , 
241002,Saad Hassan,BSIT,7th,Mehdi,Paid
241003,Fatima Ahmed,BSCS,1st,Ahmed,Unpaid
241004,Hassan Ali,BSIT,4th,Imran Mehdi,Paid
241005,Ali Khan,BECE,4th,Yousaf,Paid
241006,Usman Sheikh,BSIT,5th,Nawaz,Paid
241007,Usman Sheikh,BSIT,1st,Mehdi,Paid
241008,Ali Khan,BECE,1st,Mehdi,Paid
241009,Mazhar Ali,BECE,5th,Hassan,Unpaid
241010,Eman Ali,BECE,3rd,Mehdi,Paid
241011,Fatima Ahmed,BSIT,3rd,Ahmed,Unpaid
241012,Hassan Ali,BECE,2nd,Mehdi,Paid
241013,Hassan Khan,BSCS,4th,Ali,Unpaid
241014,Mazhar Ali,BSIT,3rd,Hassan,Unpaid
241015,Hassan Khan,BSCS,3rd,Khalid,Paid
241016,Saad Hassan,BSCS,6th,Imran Mehdi,Paid
241017,Ali Khan,BECE,5th,Mehdi,Paid
241018,Ahmed Iqbal,BECE,1st,Ahmed,Unpaid
241019,Ali Khan,BSCS,2nd,Ali,Unpaid
241020,Ali Khan,BECE,7th,Ahmed,Paid
241021,Hassan Khan,BSCS,6th,Imran Mehdi,Unpaid
241022,Hassan Khan,BECE,7th,Imran Mehdi,Unpaid
241023,Eman Ali,BECE,2nd,Ahmed,Paid
241024,Zara Sheikh,BSCS,7th,Yousaf,Paid
241025,Saad Hassan,BSIT,6th,Yousaf,Unpaid
241026,Fatima Ahmed,BSIT,4th,Ahmed,Paid
241027,Ayesha Ali,BBA,8th,Imran Mehdi,Paid
241028,Ayesha Ali,BECE,6th,Yousaf,Paid
241029,Hassan Ali,BECE,5th,Mehdi,Paid
241030,Ali Khan,BSCS,7th,Ali,Unpaid
241031,Usman Sheikh,BECE,8th,Yousaf,Paid
241032,Fatima Ahmed,BSIT,6th,Khalid,Unpaid
241033,Usman Sheikh,BSIT,7th,Ahmed,Paid
241034,Ali Khan,BSCS,3rd,Ahmed,Unpaid
241035,Eman Ali,BSCS,4th,Mehdi,Paid
241036,Hassan Ali,BECE,5th,Imran Mehdi,Unpaid
241037,Usman Sheikh,BSIT,1st,Ahmed,Unpaid
241038,Fatima Ahmed,BSIT,2nd,Mehdi,Unpaid
